Joueur;Poste;Note;Variation;Buts;%Titu;Min note/but;Club;Victoire probable;%Victoire J+10;%Victoire J+14;%Victoire J+18;Clean sheet;But/Peno;But/Coup-franc;But|Surface;Pass D&but;Occas créée;Tirs;Tirs-1an;Tirs cadrés;Tirs cadrés-1an;Corners gagnés;%Passes;Ballons;Interceptions;Tacles;Duel G/P;Fautes;Buts évités;Actions stoppées;PossDef;PossMid;Centres G/P;Dégagements;Buts concédés;Ballons perdus;Passe>Tir;PassPerfo;Dépossédé;Plonge&Stop;Nb Gagné;Erreur>But;DiffButs;Gross ocaz manquée;Gross ocaz manquée-1an;Balle manquée;Bonus moy;Malus moy;Index MPGStats;Indispo ?
André;MD;5,5;0,94;0;100;6;Lille;76,08;71,844;67,073;68,927;1;;;;1;1;2;14;1;5;2;81,31;313;7;5;45,45;10;;;10;8;62,5;7;6;58;5;14;10;;3;;8;;2;2;205;-130,1;-17,42;FALSE
Makengo;MD;5,5;0,71;0;50;;Lorient;39,37;38,616;38,894;39,684;;;;;1;;3;18;2;16;;85,33;104;2;1;48,28;2;;;3;4;100;;4;21;3;2;4;;-1;;-4;;4;3;102,13;-55,37;-2,37;FALSE
Udol;DL;5,5;0,87;0;100;5;Lens;71,29;60,74;60,25;60,218;1,5;;;;;2;9;41;5;20;7;78,88;411;18;7;50;12;;;21;10;60;22;6;74;6;19;3;;2;;4;1;6;6;217,86;-167,57;-15,21;FALSE
Koffi;G;5,5;1,78;0;100;;Angers;22,09;31,169;32,475;32,021;1;;;;;;;;;;;NaN;;;;50;;22;10;;;0;10;10;;;;;16;-3;1;-8;;;;171,86;-118,57;-7,91;FALSE
Kondogbia;MD;5,5;0,71;0;100;;Marseille;78,6;66,907;65,096;64,196;1;;;;;;1;6;1;2;;91,87;107;;1;77,78;;;;3;3;0;5;;9;;1;1;;;;3;;1;;97,75;-47,75;-3,45;TRUE
Lee Kang-In;MO;5,5;0,45;0;67;6,5;Paris;81,71;86,587;84,868;85,501;2;;;;;2;11;40;9;26;3;93,91;332;1;2;46,67;3;;;7;12;57,14;2;1;38;10;3;4;;3;1;5;;;5;124,67;-70,25;-2,3;FALSE
Salisu;DC;5,5;0,71;0;100;6;Monaco;77,91;57,518;60,319;59,308;;;;;;;1;5;;4;;91,01;222;2;2;72,73;5;;;9;7;0;11;2;19;;3;;;1;;1;;;1;192;-162;-2,75;FALSE
Léon;G;5,5;2,03;0;100;;Auxerre;42,71;43,938;41,734;43,012;2;;;;;;;;;;;NaN;;;;75;;10;4;;;0;3;6;;;;;7;-1;;-3;;;;139,8;-90;-6,64;FALSE
Traoré;MO;5,5;0;0;100;6;Marseille;78,6;66,907;65,096;64,196;0,5;;;;;;2;56;2;35;;75;32;;;62,5;1;;;2;;50;;;9;;2;;;-1;;-1;1;5;;143;-89,5;-2;TRUE
Seidu;DC;5,5;0,71;0;60;;Rennes;57,29;46,206;47,639;46,507;0,5;;;;1;3;1;2;;;2;90,85;292;9;4;60,53;1;;;11;17;62,5;5;1;32;3;4;5;;;;-2;;;4;150,6;-97;-4,06;FALSE
